trip_id,taxi_id,trip_seconds,trip_miles,trip_tips},trip_tolls,trip_extras,trip_total,trip_start_hour,trip_end_hour,trip_junk,trip_location_grid_start,trip_location_grid_end
fe209b58bdbbdea89c74b281851998d6a61dfe2d,4fd6cc40972b7fd3e026723f0fc4928d7f3159ea0e0822b1cb2cb763e6d3d419be787835d9dd08715f7447db097fd3ee08a599372ed9c2e99978e0447d6fa1d3,180,0.9,4.00,0.00,0.00,9.50,0,0,1,4,4
0000000c78d0cda3fb5c2018c254ad51fbdb32dd,a0a886ad03fbdf977af36c2495d1f737bb58e23484818c8d7dc01578af65642104024f22b6bddc7b22564e196e24e7fef1b158ad66bb70dac7491a6892d138bf,595,0,2.55,0.00,0.00,13.74,3,3,9,9,21
00003e627d10172b2d27f401fe257e35d8909cf9,3618045f9110d4d88482266ade23659c1a50d32ac37f205c15614b1ada9d4ca14b171329afed5dfd81c7525bd5a05fe614cb63b2aa48d920626b519e20d9e146,2100,9.6,0.00,0.00,0.00,28.75,4,0,17,22,23
00005e5a525ee6736586c6619c705038ddd0820c,7a44d1655eea488badca070f84c5a50dc512dccdca7f19a0b5d718788ae716b406ac71f39be01d4d0415a8b21b1106c229e79cb4331ae44cbfe6842a5df66b47,1920,0.7,0.00,0.00,7.00,40.50,5,6,7,2,24
000082ef2810a093b566fab1d97253c9ba7e7196,bb4e75d3065311c33024a434640731c43fd2cf9e4482eb9e17cbf9f0ff0ed005455ffe22797df66b7467489a738e7be52c5983e16615b31c7c1d6af3ee0eb965,1560,0.9,0.00,0.00,0.00,38.25,7,8,7,19,14
0000852ba8fa01b2ccc068317086b1e77c5bcf58,87ff9e63139e6268b8e4a6f74ccc421217794c892a5636114271fa71528dfcf37987961bce9d9ed1223d5a59a00ff4c06b74380bfbccf4237a093ea025efe0bb,547,1.9,0.00,0.00,0.00,8.00,9,10,18,10,25
00008bf4d87f59d9a49733b88039c67997c95892,63a62e6df555fe8df83bbdfd208da64d6feb94eb414e07149cd04f272545f091d01f3912a676d8374d8d11ee27d6a449e998b9dd90e7e4f8caf11c1cea87c641,1611,11.26,0.77,0.00,0.00,32.52,11,12,19,4,11
0000a78c2a2bbff1406dd7fac8dc3ac7eb2bfbf0,2d3cbab27df38cfd4fa3321ffca7824030be39c277585fa53d03b021494e89a11014957171fcdf13f061902b5231aaca77c97785f5dafebcad9105347d0023c9,360,1,0.00,0.00,1.00,7.50,13,13,3,13,24
0000d8c28aff315c8e6931e6be916567017b6e3c,ba3d352fc557396edc7443cf0ad65e8593c05a838a856aaa2c21a0d61922d0f5f9b0897d7c5648e8c6e27f5cae60ccbc415e84621473ae57d916dc78b24b5f00,384,0.6,0.00,0.00,0.00,5.75,14,15,18,12,26
0000fbedacb7fc242d58e64b3a8688dab37b5f9f,9778031a3357bc586bbe6b48765130a7a9457d772aafa660915f91541938cd5b54fb7471895f542dda9a46a9627cb68c372e8cfa39a6d3a4fff957e9d86b2224,700,2.03,3.00,0.00,0.00,12.25,16,17,9,4,19
